"proteinSearched","gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"pbmc","SLC4A1","The protein encoded by this gene is part of the anion exchanger (AE) family and is expressed in the erythrocyte plasma membrane, where it functions as a chloride/bicarbonate exchanger involved in carbon dioxide transport from tissues to lungs. The protein comprises two domains that are structurally and functionally distinct. The N-terminal 40kDa domain is located in the cytoplasm and acts as an attachment site for the red cell skeleton by binding ankyrin. The glycosylated C-terminal membrane-associated domain contains 12-14 membrane spanning segments and carries out the stilbene disulphonate-sensitive exchange transport of anions. The cytoplasmic tail at the extreme C-terminus of the membrane domain binds carbonic anhydrase II. The encoded protein associates with the red cell membrane protein glycophorin A and this association promotes the correct folding and translocation of the exchanger. This protein is predominantly dimeric but forms tetramers in the presence of ankyrin. Many mutations in this gene are known in man, and these mutations can lead to two types of disease: destabilization of red cell membrane leading to hereditary spherocytosis, and defective kidney acid secretion leading to distal renal tubular acidosis. Other mutations that do not give rise to disease result in novel blood group antigens, which form the Diego blood group system. Southeast Asian ovalocytosis (SAO, Melanesian ovalocytosis) results from the heterozygous presence of a deletion in the encoded protein and is common in areas where Plasmodium falciparum malaria is endemic. One null mutation in this gene is known, resulting in very severe anemia and nephrocalcinosis. [provided by RefSeq, Jul 2008]","                                            SLC4A1 (Solute Carrier Family 4 Member 1 (Diego Blood Group)) is a Protein Coding gene.                                            Diseases associated with SLC4A1 include Renal Tubular Acidosis, Distal, Autosomal Dominant and Cryohydrocytosis.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Neuroscience.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and transporter activity.                                            An important paralog of this gene is SLC4A2.","Functions both as a transporter that mediates electroneutral anion exchange across the cell membrane and as a structural protein. Major integral membrane glycoprotein of the erythrocyte membrane; required for normal flexibility and stability of the erythrocyte membrane and for normal erythrocyte shape via the interactions of its cytoplasmic domain with cytoskeletal proteins, glycolytic enzymes, and hemoglobin. Functions as a transporter that mediates the 1:1 exchange of inorganic anions across the erythrocyte membrane. Mediates chloride-bicarbonate exchange in the kidney, and is required for normal acidification of the urine.
                         B3AT_HUMAN,P02730
                         ","Fri Aug 14 08:54:39 2020"
"pbmc","RAP1GAP","This gene encodes a type of GTPase-activating-protein (GAP) that down-regulates the activity of the ras-related RAP1 protein. RAP1 acts as a molecular switch by cycling between an inactive GDP-bound form and an active GTP-bound form. The product of this gene, RAP1GAP, promotes the hydrolysis of bound GTP and hence returns RAP1 to the inactive state whereas other proteins, guanine nucleotide exchange factors (GEFs), act as RAP1 activators by facilitating the conversion of RAP1 from the GDP- to the GTP-bound form. In general, ras subfamily proteins, such as RAP1, play key roles in receptor-linked signaling pathways that control cell growth and differentiation. RAP1 plays a role in diverse processes such as cell proliferation, adhesion, differentiation, and embryogenesis. Alternative splicing results in multiple transcript variants encoding distinct proteins. [provided by RefSeq, Aug 2011]","                                            RAP1GAP (RAP1 GTPase Activating Protein) is a Protein Coding gene.                                            Diseases associated with RAP1GAP include Tuberous Sclerosis and Bleeding Disorder, Platelet-Type, 18.                                            Among its related pathways are Ras signaling pathway and Development Angiotensin activation of ERK.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and GTPase activator activity.                                            An important paralog of this gene is RAP1GAP2.","GTPase activator for the nuclear Ras-related regulatory protein RAP-1A (KREV-1), converting it to the putatively inactive GDP-bound state.
                         RPGP1_HUMAN,P47736
                         ","Fri Aug 14 08:54:39 2020"
"pbmc","GCKR","This gene encodes a protein belonging to the GCKR subfamily of the SIS (Sugar ISomerase) family of proteins. The gene product is a regulatory protein that inhibits glucokinase in liver and pancreatic islet cells by binding non-covalently to form an inactive complex with the enzyme. This gene is considered a susceptibility gene candidate for a form of maturity-onset diabetes of the young (MODY). [provided by RefSeq, Jul 2008]","                                            GCKR (Glucokinase Regulator) is a Protein Coding gene.                                            Diseases associated with GCKR include Fasting Plasma Glucose Level Quantitative Trait Locus 5 and Maturity-Onset Diabetes Of The Young.                                            Among its related pathways are Regulation of activated PAK-2p34 by proteasome mediated degradation and Hexose transport.                                            Gene Ontology (GO) annotations related to this gene include enzyme binding and protein domain specific binding.                                            ","Regulates glucokinase (GCK) by forming an inactive complex with this enzyme (PubMed:23621087, PubMed:23733961). Acts by promoting GCK recruitment to the nucleus, possibly to provide a reserve of GCK that can be quickly released in the cytoplasm after a meal (PubMed:10456334). The affinity of GCKR for GCK is modulated by fructose metabolites: GCKR with bound fructose 6-phosphate has increased affinity for GCK, while GCKR with bound fructose 1-phosphate has strongly decreased affinity for GCK and does not inhibit GCK activity (PubMed:23621087, PubMed:23733961).
                         GCKR_HUMAN,Q14397
                         ","Fri Aug 14 08:54:40 2020"
"pbmc","ADAMTS2","This gene encodes a member of the ADAMTS (a disintegrin and metalloproteinase with thrombospondin motifs) protein family. Members of the family share several distinct protein modules, including a propeptide region, a metalloproteinase domain, a disintegrin-like domain, and a thrombospondin type 1 (TS) motif. Individual members of this family differ in the number of C-terminal TS motifs, and some have unique C-terminal domains. The encoded preproprotein is proteolytically processed to generate the mature procollagen N-proteinase. This proteinase excises the N-propeptide of the fibrillar procollagens types I-III and type V. Mutations in this gene cause Ehlers-Danlos syndrome type VIIC, a recessively inherited connective-tissue disorder. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Feb 2016]","                                            ADAMTS2 (ADAM Metallopeptidase With Thrombospondin Type 1 Motif 2) is a Protein Coding gene.                                            Diseases associated with ADAMTS2 include Ehlers-Danlos Syndrome, Dermatosparaxis Type and Ehlers-Danlos Syndrome.                                            Among its related pathways are Degradation of the extracellular matrix and Metabolism of proteins.                                            Gene Ontology (GO) annotations related to this gene include peptidase activity and metallopeptidase activity.                                            An important paralog of this gene is ADAMTS3.","Cleaves the propeptides of type I and II collagen prior to fibril assembly (By similarity). Does not act on type III collagen (By similarity). Cleaves lysyl oxidase LOX at a site downstream of its propeptide cleavage site to produce a short LOX form with reduced collagen-binding activity (PubMed:31152061).
                         ATS2_HUMAN,O95450
                         ","Fri Aug 14 08:54:41 2020"
"pbmc","CRISP3","This gene encodes a member of the cysteine-rich secretory protein (CRISP) family within the CRISP, antigen 5 and pathogenesis-related 1 proteins superfamily. The encoded protein has an N-terminal CRISP, antigen 5 and pathogenesis-related 1 proteins domain, a hinge region, and a C-terminal ion channel regulator domain. This protein contains cysteine residues, located in both the N- and C-terminal domains, that form eight disulfide bonds, a distinguishing characteristic of this family. This gene is expressed in the male reproductive tract where it plays a role in sperm function and fertilization, and the female reproductive tract where it plays a role in endometrial receptivity for embryo implantation. This gene is upregulated in certain types of prostate cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2016]","                                            CRISP3 (Cysteine Rich Secretory Protein 3) is a Protein Coding gene.                                            Diseases associated with CRISP3 include Prostate Cancer.                                            Among its related pathways are Innate Immune System.                                                                                        An important paralog of this gene is CRISP2.","no summary","Fri Aug 14 08:54:42 2020"
"pbmc","OLFM4","This gene was originally cloned from human myeloblasts and found to be selectively expressed in inflammed colonic epithelium. This gene encodes a member of the olfactomedin family. The encoded protein is an antiapoptotic factor that promotes tumor growth and is an extracellular matrix glycoprotein that facilitates cell adhesion. [provided by RefSeq, Mar 2011]","                                            OLFM4 (Olfactomedin 4) is a Protein Coding gene.                                            Diseases associated with OLFM4 include Pancreatic Cancer and Ovary Serous Adenocarcinoma.                                            Among its related pathways are Innate Immune System and Adhesion.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and cadherin binding.                                            An important paralog of this gene is OLFM1.","May promote proliferation of pancreatic cancer cells by favoring the transition from the S to G2/M phase. In myeloid leukemic cell lines, inhibits cell growth and induces cell differentiation and apoptosis. May play a role in the inhibition of EIF4EBP1 phosphorylation/deactivation. Facilitates cell adhesion, most probably through interaction with cell surface lectins and cadherin.
                         OLFM4_HUMAN,Q6UX06
                         ","Fri Aug 14 08:54:43 2020"
"pbmc","WFDC1","This gene encodes a member of the WAP-type four disulfide core domain family. The WAP-type four-disulfide core domain contains eight cysteines forming four disulfide bonds at the core of the protein, and functions as a protease inhibitor in many family members. This gene is mapped to chromosome 16q24, an area of frequent loss of heterozygosity in cancers, including prostate, breast and hepatocellular cancers and Wilms' tumor. This gene is downregulated in many cancer types and may be involved in the inhibition of cell proliferation. The encoded protein may also play a role in the susceptibility of certain CD4 memory T cells to human immunodeficiency virus infection. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2013]","                                            WFDC1 (WAP Four-Disulfide Core Domain 1) is a Protein Coding gene.                                            Diseases associated with WFDC1 include Corneal Staphyloma.                                                                                        Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase inhibitor activity and peptidase inhibitor activity.                                            ","Has growth inhibitory activity.
                         WFDC1_HUMAN,Q9HC57
                         ","Fri Aug 14 08:54:44 2020"
"pbmc","RHAG","The protein encoded by this gene is erythrocyte-specific and is thought to be part of a membrane channel that transports ammonium and carbon dioxide across the blood cell membrane. The encoded protein appears to interact with Rh blood group antigens and Rh30 polypeptides. Defects in this gene are a cause of regulator type Rh-null hemolytic anemia (RHN), or Rh-deficiency syndrome.[provided by RefSeq, Mar 2009]","                                            RHAG (Rh Associated Glycoprotein) is a Protein Coding gene.                                            Diseases associated with RHAG include Overhydrated Hereditary Stomatocytosis and Rh-Null, Regulator Type.                                            Among its related pathways are O2/CO2 exchange in erythrocytes and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include ankyrin binding and ammonium transmembrane transporter activity.                                            An important paralog of this gene is RHCG.","Associated with rhesus blood group antigen expression (PubMed:19744193). May be part of an oligomeric complex which is likely to have a transport or channel function in the erythrocyte membrane (PubMed:11062476, PubMed:11861637). Involved in ammonia transport across the erythrocyte membrane (PubMed:21849667, PubMed:22012326). Seems to act in monovalent cation transport (PubMed:18931342, PubMed:21849667).
                         RHAG_HUMAN,Q02094
                         ","Fri Aug 14 08:54:45 2020"
"pbmc","IGSF21","This gene encodes a protein which has two immunoglobulin (Ig) domains and is a member of the immunoglobulin superfamily. Proteins in this superfamily are usually found on or in cell membranes and act as receptors in immune response pathways. [provided by RefSeq, Sep 2011]","                                            IGSF21 (Immunoglobin Superfamily Member 21) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is CNTN6.","Involved in synaptic inhibition in the brain. Selectively regulates inhibitory presynaptic differentiation through interacting with presynaptic NRXN2.
                         IGS21_HUMAN,Q96ID5
                         ","Fri Aug 14 08:54:45 2020"
"pbmc","GPR31","                                            GPR31 (G Protein-Coupled Receptor 31) is a Protein Coding gene.                                            Diseases associated with GPR31 include Ischemia.                                            Among its related pathways are Signaling by GPCR and Free fatty acid receptors.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity.                                            An important paralog of this gene is HCAR2.","                                            GPR31 (G Protein-Coupled Receptor 31) is a Protein Coding gene.                                            Diseases associated with GPR31 include Ischemia.                                            Among its related pathways are Signaling by GPCR and Free fatty acid receptors.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity.                                            An important paralog of this gene is HCAR2.","High-affinity receptor for 12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid (12-S-HETE), with much lower affinities for other HETE isomers (PubMed:21712392, PubMed:29227475). 12-S-HETE is a eicosanoid, a 12-lipoxygenase (ALOX12) metabolite of arachidonic acid, involved in many physiologic and pathologic processes (PubMed:26965684, PubMed:28619714, PubMed:29227475). 12-S-HETE-binding leads to activation of ERK1/2 (MAPK3/MAPK1), MEK, and NF-kappa-B pathways leading to cell growth (PubMed:21712392, PubMed:29227475). Plays a crucial role for proliferation, survival and macropinocytosis of KRAS-dependent cancer cells by mediating the translocation of KRAS from the endoplasmic reticulum to the plasma membrane (PM) and its association with the PM (PubMed:28619714). Contributes to enhanced immune responses by inducing dendrite protrusion of small intestinal CX3CR1(+) phagocytes for the uptake of luminal antigens (By similarity). Acts also as a key receptor for 12-(S)-HETE-mediated liver ischemia reperfusion injury (PubMed:29227475).
                         GPR31_HUMAN,O00270
                         ","Fri Aug 14 08:54:46 2020"
