"proteinType","proteinSearched","todaysDate"
"PRL","prolactin","Tue Aug 18 06:46:21 2020"
"PRLR","prolactin","Tue Aug 18 06:46:21 2020"
"POU1F1","prolactin","Tue Aug 18 06:46:21 2020"
"AIP","prolactin","Tue Aug 18 06:46:21 2020"
"GH1","prolactin","Tue Aug 18 06:46:21 2020"
"MEN1","prolactin","Tue Aug 18 06:46:21 2020"
"GNAS","prolactin","Tue Aug 18 06:46:21 2020"
"PROP1","prolactin","Tue Aug 18 06:46:21 2020"
"PRKAR1A","prolactin","Tue Aug 18 06:46:21 2020"
"POMC","prolactin","Tue Aug 18 06:46:21 2020"
"IGF1","prolactin","Tue Aug 18 06:46:21 2020"
"CDH23","prolactin","Tue Aug 18 06:46:21 2020"
"TRH","prolactin","Tue Aug 18 06:46:21 2020"
"LHX3","prolactin","Tue Aug 18 06:46:21 2020"
"PRLH","prolactin","Tue Aug 18 06:46:21 2020"
"SST","prolactin","Tue Aug 18 06:46:21 2020"
"GPR101","prolactin","Tue Aug 18 06:46:21 2020"
"PRLHR","prolactin","Tue Aug 18 06:46:21 2020"
"DRD2","prolactin","Tue Aug 18 06:46:21 2020"
"GNRH1","prolactin","Tue Aug 18 06:46:21 2020"
"INS","prolactin","Tue Aug 18 06:46:21 2020"
"HESX1","prolactin","Tue Aug 18 06:46:21 2020"
"LHX4","prolactin","Tue Aug 18 06:46:21 2020"
"GLI2","prolactin","Tue Aug 18 06:46:21 2020"
"PREB","prolactin","Tue Aug 18 06:46:21 2020"
